periodo,nodo,label,tipo,degree_bip,degreew_bip,betweenness_bip,closeness_bip,betweenness_co,closeness_co
2003-2006,ANCASH,Ancash,region,42,50,0.4553146483342147,0.6774193548387096,,
2003-2006,PASCO,Pasco,region,19,29,0.0904283447911158,0.3064516129032258,,
2003-2006,10081180704,10081180704,empresa,1,1,0.0,0.342790516906335,0.0,0.0
2003-2006,10157044414,10157044414,empresa,1,3,0.0,0.342790516906335,0.0,0.06666666666666667
2003-2006,10282902082.0,10282902082.0,empresa,1,1,0.0,0.342790516906335,0.0,0.06666666666666667
2003-2006,20100620805,20100620805,empresa,1,1,0.0,0.342790516906335,0.0,0.0
2003-2006,20108736659,20108736659,empresa,1,1,0.0,0.342790516906335,0.0,0.06666666666666667
2003-2006,20114110966,20114110966,empresa,1,1,0.0,0.342790516906335,0.0,0.0
2003-2006,20163906661,20163906661,empresa,1,1,0.0,0.342790516906335,0.0,0.13333333333333333
2003-2006,20165813996,20165813996,empresa,1,1,0.0,0.342790516906335,0.0,0.0
2003-2006,20207951316,20207951316,empresa,1,1,0.0,0.342790516906335,0.0,0.06666666666666667
2003-2006,20227662108,20227662108,empresa,1,2,0.0,0.342790516906335,0.0,0.0
2003-2006,20277572517,20277572517,empresa,1,1,0.0,0.342790516906335,0.0,0.0
2003-2006,20358000348,20358000348,empresa,1,1,0.0,0.342790516906335,0.0,0.0
2003-2006,20364680687,20364680687,empresa,1,2,0.0,0.342790516906335,0.0,0.0
2003-2006,20364766999,20364766999,empresa,1,1,0.0,0.342790516906335,0.0,0.0
2003-2006,20403407004,20403407004,empresa,1,1,0.0,0.342790516906335,0.0,0.0
2003-2006,20403914101.0,20403914101.0,empresa,1,1,0.0,0.342790516906335,0.0,0.06666666666666667
2003-2006,20406905226,20406905226,empresa,1,1,0.0,0.342790516906335,0.0,0.0
2003-2006,20428434588,20428434588,empresa,1,1,0.0,0.342790516906335,0.0,0.0
2003-2006,20440128557.0,20440128557.0,empresa,1,1,0.0,0.342790516906335,0.0,0.13333333333333333
2003-2006,20445016358,20445016358,empresa,1,1,0.0,0.342790516906335,0.0,0.0
2003-2006,20445389201,20445389201,empresa,1,1,0.0,0.342790516906335,0.0,0.0
2003-2006,20445454975,20445454975,empresa,1,2,0.0,0.342790516906335,0.0,0.0
2003-2006,20449282729,20449282729,empresa,1,1,0.0,0.342790516906335,0.0,0.0
2003-2006,20453914268,20453914268,empresa,1,1,0.0,0.342790516906335,0.0,0.0
2003-2006,20470005565.0,20470005565.0,empresa,1,1,0.0,0.342790516906335,0.0,0.06666666666666667
2003-2006,20484346659,20484346659,empresa,1,1,0.0,0.342790516906335,0.0,0.0
2003-2006,20488351398,20488351398,empresa,1,1,0.0,0.342790516906335,0.0,0.0
2003-2006,20489263123,20489263123,empresa,1,1,0.0,0.342790516906335,0.0,0.0
2003-2006,20489466741,20489466741,empresa,1,1,0.0,0.342790516906335,0.0,0.0
2003-2006,20503574226.0,20503574226.0,empresa,1,1,0.0,0.342790516906335,0.0,0.13333333333333333
2003-2006,20505935251,20505935251,empresa,1,1,0.0,0.342790516906335,0.0,0.0
2003-2006,20510916710,20510916710,empresa,1,1,0.0,0.342790516906335,0.0,0.0
