periodo,nodo,label,tipo,degree_bip,degreew_bip,betweenness_bip,closeness_bip,betweenness_co,closeness_co
2023-2026,ANCASH,Ancash,region,9,9,0.006853226727584238,0.08737864077669903,,
2023-2026,PASCO,Pasco,region,93,107,0.8143917761279269,0.9029126213592233,,
2023-2026,20205328662,20205328662,empresa,1,1,0.0,0.04625928041119361,0.0,0.019801980198019802
2023-2026,20393252848.0,20393252848.0,empresa,1,1,0.0,0.04625928041119361,0.0,0.009900990099009901
2023-2026,20461112227.0,20461112227.0,empresa,1,1,0.0,0.04625928041119361,0.0,0.019801980198019802
2023-2026,20489532981,20489532981,empresa,1,1,0.0,0.04625928041119361,0.0,0.009900990099009901
2023-2026,20510992068,20510992068,empresa,1,1,0.0,0.04625928041119361,0.0,0.009900990099009901
2023-2026,20571184151.0,20571184151.0,empresa,1,1,0.0,0.04625928041119361,0.0,0.009900990099009901
2023-2026,20600815769,20600815769,empresa,1,1,0.0,0.04625928041119361,0.0,0.009900990099009901
2023-2026,20602937934.0,20602937934.0,empresa,1,1,0.0,0.04625928041119361,0.0,0.019801980198019802
2023-2026,20603019289.0,20603019289.0,empresa,1,1,0.0,0.04625928041119361,0.0,0.009900990099009901
2023-2026,10324057035,10324057035,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,10411982438,10411982438,empresa,1,1,0.0,0.4538966150616636,0.0,0.026402640264026403
2023-2026,10805536867,10805536867,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20393226502,20393226502,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20393675480,20393675480,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20407836872,20407836872,empresa,1,2,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20407836872.0,20407836872.0,empresa,1,3,0.0,0.4538966150616636,0.00019801980198019803,0.019801980198019802
2023-2026,20407863250,20407863250,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20446927753,20446927753,empresa,1,2,0.0,0.4538966150616636,0.0,0.019801980198019802
2023-2026,20446927753.0,20446927753.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.0297029702970297
2023-2026,20486845725,20486845725,empresa,1,1,0.0,0.4538966150616636,0.0,0.019801980198019802
2023-2026,20486975939,20486975939,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20489304687,20489304687,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20489434891,20489434891,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20489537436.0,20489537436.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20489585325.0,20489585325.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20489594235,20489594235,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20489594235.0,20489594235.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20489614015.0,20489614015.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.01782178217821782
2023-2026,20489626706,20489626706,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20489643627.0,20489643627.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20489650674,20489650674,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20489684145,20489684145,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20489734185,20489734185,empresa,1,2,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20489747244,20489747244,empresa,1,1,0.0,0.4538966150616636,0.0,0.019801980198019802
2023-2026,20494951020,20494951020,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20494951020.0,20494951020.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20495931472.0,20495931472.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20502322711,20502322711,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20506298301,20506298301,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20528901361,20528901361,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20528932321,20528932321,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20528973516.0,20528973516.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20529030330,20529030330,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20529033274.0,20529033274.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20529066521,20529066521,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20529068655,20529068655,empresa,1,2,0.0,0.4538966150616636,0.00019801980198019803,0.019801980198019802
2023-2026,20529068655.0,20529068655.0,empresa,1,2,0.0,0.4538966150616636,0.0005940594059405942,0.031683168316831684
2023-2026,20529089148.0,20529089148.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.01782178217821782
2023-2026,20529111259.0,20529111259.0,empresa,1,2,0.0,0.4538966150616636,0.0005940594059405942,0.031683168316831684
2023-2026,20529202998.0,20529202998.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.013201320132013201
2023-2026,20529215038,20529215038,empresa,1,2,0.0,0.4538966150616636,0.00019801980198019803,0.019801980198019802
2023-2026,20529215038.0,20529215038.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20529286300.0,20529286300.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20542350033,20542350033,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20542489627.0,20542489627.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20542577836.0,20542577836.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20568073658.0,20568073658.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20571395283,20571395283,empresa,1,3,0.0,0.4538966150616636,0.0005940594059405942,0.0297029702970297
2023-2026,20571395283.0,20571395283.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20573066619,20573066619,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20573098731,20573098731,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20573144946.0,20573144946.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20573225199,20573225199,empresa,1,2,0.0,0.4538966150616636,0.0,0.013201320132013201
