periodo,empresa,degree_co,degreew_co,betweenness_co,closeness_co
2007-2010,20460420262,2,2,0.0,0.008928571428571428
2007-2010,20408997667.0,2,2,0.0,0.008928571428571428
2007-2010,20451238630.0,3,3,6.323910706380825e-05,0.011904761904761904
2007-2010,20531089627,3,3,0.0,0.012698412698412698
2007-2010,20533971823.0,4,4,9.485866059571237e-05,0.015873015873015872
2007-2010,20534147296.0,3,3,0.0,0.012698412698412698
2007-2010,20408078530,3,3,0.0,0.012698412698412698
2007-2010,20531769920,3,3,0.0,0.02334267040149393
2007-2010,20445549411.0,8,8,0.0007904888382976032,0.03306878306878307
2007-2010,20403407004.0,5,5,0.000505912856510466,0.026455026455026454
2007-2010,20445311783,3,3,0.0,0.02334267040149393
2007-2010,10104750741,1,1,0.0,0.003968253968253968
2007-2010,20406906460.0,1,1,0.0,0.003968253968253968
2007-2010,20323041092,2,2,0.0,0.007936507936507936
2007-2010,20533942211.0,2,2,0.0,0.007936507936507936
2007-2010,20530562370.0,2,2,0.0,0.007936507936507936
2007-2010,20408140782,2,2,0.0,0.007936507936507936
2007-2010,20520644068.0,2,2,0.0,0.007936507936507936
2007-2010,20336707618.0,2,2,0.0,0.007936507936507936
2007-2010,20482021523,1,1,0.0,0.003968253968253968
2007-2010,20445689000.0,1,1,0.0,0.003968253968253968
2007-2010,20445795535,1,1,0.0,0.003968253968253968
2007-2010,20482021523.0,1,1,0.0,0.003968253968253968
2007-2010,20445689000,3,3,9.485866059571237e-05,0.011904761904761904
2007-2010,20445795535.0,1,1,0.0,0.007142857142857142
2007-2010,20531700130.0,1,1,0.0,0.007142857142857142
2007-2010,20531866704.0,1,1,0.0,0.007142857142857142
2007-2010,20125398945,1,1,0.0,0.003968253968253968
2007-2010,20510253851.0,1,1,0.0,0.003968253968253968
2007-2010,20533971823,1,1,0.0,0.003968253968253968
2007-2010,20407011920.0,1,1,0.0,0.003968253968253968
2007-2010,20508384123,1,1,0.0,0.003968253968253968
2007-2010,20524098882.0,1,1,0.0,0.003968253968253968
2007-2010,20403335097,1,2,0.0,0.007142857142857142
2007-2010,20445585051.0,3,4,6.323910706380825e-05,0.011904761904761904
2007-2010,20534157682,3,3,0.0,0.011904761904761904
2007-2010,20488241886.0,3,3,0.0,0.011904761904761904
2007-2010,20530913776.0,3,3,0.0,0.011904761904761904
2007-2010,20534013508,3,3,0.0,0.011904761904761904
2007-2010,20534035226,5,5,0.0,0.028244631185807657
2007-2010,20449315830.0,5,5,0.0,0.028244631185807657
2007-2010,20407766131.0,5,5,0.0,0.028244631185807657
2007-2010,20453832024,11,11,0.001233162587744261,0.04365079365079365
2007-2010,20534121220.0,5,5,0.0,0.028244631185807657
2007-2010,20530633650.0,5,5,0.0,0.028244631185807657
2007-2010,20530969488,2,2,3.161955353190413e-05,0.007936507936507936
2007-2010,20338936398.0,1,1,0.0,0.005291005291005291
2007-2010,20445694429,5,5,0.0,0.02334267040149393
2007-2010,20403107116.0,5,5,0.0,0.02334267040149393
2007-2010,20445311783.0,5,5,0.0,0.02334267040149393
2007-2010,20403407004,5,5,0.0,0.02334267040149393
2007-2010,20531773528.0,5,5,0.0,0.02334267040149393
2007-2010,20408056561,4,4,0.0,0.015873015873015872
2007-2010,20449282729.0,4,4,0.0,0.015873015873015872
2007-2010,20530821731.0,4,4,0.0,0.015873015873015872
2007-2010,20534147296,4,4,0.0,0.015873015873015872
2007-2010,20407961774.0,4,4,0.0,0.015873015873015872
2007-2010,20533925554,2,2,0.0,0.01725327812284334
2007-2010,20531010036.0,2,2,0.0,0.01725327812284334
2007-2010,20488351398,3,3,6.323910706380825e-05,0.011904761904761904
2007-2010,20453832024.0,1,1,0.0,0.007142857142857142
2007-2010,20509656607,1,1,0.0,0.003968253968253968
